name,price,rr
itel It2171,₹999,"4,592 Ratings & 388 Reviews"
Micromax X512,"₹1,164",462 Ratings & 29 Reviews
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)","₹21,838","4,214 Ratings & 359 Reviews"
Nokia 105 TA-1416 DS,"₹1,449","5,311 Ratings & 372 Reviews"
"POCO M4 Pro (Yellow, 64 GB)","₹11,999","1,59,420 Ratings & 14,164 Reviews"
"POCO M5 (Power Black, 128 GB)","₹12,499","1,926 Ratings & 125 Reviews"
"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)","₹18,259","1,467 Ratings & 107 Reviews"
Motorola a10,"₹1,419","6,749 Ratings & 748 Reviews"
Motorola a10,"₹1,399","6,749 Ratings & 748 Reviews"
"POCO M4 Pro (Yellow, 128 GB)","₹14,999","15,262 Ratings & 1,310 Reviews"
"Infinix NOTE 12i (Force Black, 64 GB)","₹10,499","3,106 Ratings & 334 Reviews"
"OnePlus 11R 5G (Galactic Silver, 256 GB)","₹44,980",178 Ratings & 10 Reviews
Micromax X512,"₹1,068",94 Ratings & 3 Reviews
"I Kall King Talking, Contact icon and Auto Call Recording",₹774,"16,400 Ratings & 1,481 Reviews"
"REDMI Note 12 Pro+ 5G (Iceberg Blue, 256 GB)","₹29,999","7,174 Ratings & 814 Reviews"
"MOTOROLA e13 (Cosmic Black, 64 GB)","₹6,999","1,347 Ratings & 112 Reviews"
I Kall K100,₹704,"6,056 Ratings & 561 Reviews"
"MOTOROLA edge 30 (Meteor Grey, 128 GB)","₹22,999","9,422 Ratings & 1,231 Reviews"
"OPPO F21 Pro (Sunset Orange, 128 GB)","₹20,999","3,212 Ratings & 219 Reviews"
"REDMI Note 11 (Starburst White, 64 GB)","₹12,964","1,405 Ratings & 106 Reviews"
"REDMI Note 11 (Horizon Blue, 64 GB)","₹12,838","1,405 Ratings & 106 Reviews"
"REDMI Note 11 (Space Black, 64 GB)","₹11,799",934 Ratings & 67 Reviews
"realme 9 5G SE (Azure Glow, 128 GB)","₹18,999","2,624 Ratings & 234 Reviews"
"REDMI Note 11 (Starburst White, 64 GB)","₹12,365","1,405 Ratings & 106 Reviews"
"REDMI Note 11 (Starburst White, 64 GB)","₹12,350",934 Ratings & 67 Reviews
"REDMI Note 11 (Space Black, 64 GB)","₹12,842","1,405 Ratings & 106 Reviews"
Cellecor E3,"₹1,176",28 Ratings & 1 Reviews
"OPPO F21 Pro (Sunset Orange, 128 GB)","₹20,999","3,212 Ratings & 219 Reviews"
"Infinix Hot 12 Pro (Electric Blue, 64 GB)","₹9,499","9,330 Ratings & 553 Reviews"
"Infinix Hot 12 Pro (Lightsaber Green, 64 GB)","₹9,499","9,330 Ratings & 553 Reviews"
"realme 9 5G SE (Azure Glow, 128 GB)","₹18,999","2,624 Ratings & 234 Reviews"
"SAMSUNG Galaxy M33 5G (Emarld Brown, 128 GB)","₹15,840","8,493 Ratings & 659 Reviews"
"realme 9i 5G (Rocking Black, 128 GB)","₹16,999","6,077 Ratings & 428 Reviews"
"realme 9 5G SE (Starry Glow, 128 GB)","₹18,999","2,624 Ratings & 234 Reviews"
"realme 9i 5G (Soulful Blue, 64 GB)","₹14,999","43,577 Ratings & 2,078 Reviews"
"POCO X5 5G (Jaguar Black, 256 GB)","₹19,999",338 Ratings & 20 Reviews
"POCO X5 5G (Wildcat Blue, 256 GB)","₹19,999",338 Ratings & 20 Reviews
"realme C30s (Stripe Blue, 32 GB)","₹6,999","5,100 Ratings & 177 Reviews"
"realme C30s (Stripe Black, 32 GB)","₹6,999","5,100 Ratings & 177 Reviews"
"MOTOROLA edge 30 (Meteor Grey, 128 GB)","₹22,999","9,422 Ratings & 1,231 Reviews"
"POCO X5 5G (Supernova Green, 256 GB)","₹19,999",338 Ratings & 20 Reviews
Micromax J22,"₹1,168",410 Ratings & 32 Reviews
"MOTOROLA e13 (Creamy White, 64 GB)","₹6,999","1,347 Ratings & 112 Reviews"
"MOTOROLA g31 (Baby Blue, 64 GB)","₹9,499","37,045 Ratings & 4,069 Reviews"
Nokia 105 ss,"₹1,475","78,804 Ratings & 7,288 Reviews"
"REDMI Note 12 Pro 5G (Onyx Black, 128 GB)","₹24,999","13,773 Ratings & 1,389 Reviews"
"realme 9 5G SE (Azure Glow, 128 GB)","₹19,999","27,521 Ratings & 2,278 Reviews"
